0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:22:26 -0500] "GET /ProyectoLP1/inicio.jsp HTTP/1.1" 200 6790
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:22:26 -0500] "GET /ProyectoLP1/cssss/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:22:26 -0500] "GET /ProyectoLP1/inicio.jsp HTTP/1.1" 200 6790
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:22:26 -0500] "GET /ProyectoLP1/cssss/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:22:26 -0500] "GET /ProyectoLP1/inicio.jsp HTTP/1.1" 200 6790
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:22:26 -0500] "GET /ProyectoLP1/cssss/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:25:58 -0500] "GET /ProyectoLP1/inicio.jsp HTTP/1.1" 200 6790
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:25:58 -0500] "GET /ProyectoLP1/cssss/style.css HTTP/1.1" 200 13230
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:25:58 -0500] "GET /ProyectoLP1/cssss/5.jpg HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:26:07 -0500] "GET /ProyectoLP1/inicio.jsp HTTP/1.1" 200 6790
